ticker,asset_class,source_index,sector,company,security_code,source_url
6506.T,equity,nikkei225,UNKNOWN,YASKAWA ELECTRIC CORP.,6506,https://indexes.nikkei.co.jp/en/nkave/index/component
6526.T,equity,nikkei225,UNKNOWN,SOCIONEXT INC.,6526,https://indexes.nikkei.co.jp/en/nkave/index/component
6532.T,equity,nikkei225,UNKNOWN,"BAYCURRENT, INC.",6532,https://indexes.nikkei.co.jp/en/nkave/index/component
6645.T,equity,nikkei225,UNKNOWN,OMRON CORP.,6645,https://indexes.nikkei.co.jp/en/nkave/index/component
6701.T,equity,nikkei225,UNKNOWN,NEC CORP.,6701,https://indexes.nikkei.co.jp/en/nkave/index/component
6702.T,equity,nikkei225,UNKNOWN,FUJITSU LTD.,6702,https://indexes.nikkei.co.jp/en/nkave/index/component
6723.T,equity,nikkei225,UNKNOWN,RENESAS ELECTRONICS CORP.,6723,https://indexes.nikkei.co.jp/en/nkave/index/component
6724.T,equity,nikkei225,UNKNOWN,SEIKO EPSON CORP.,6724,https://indexes.nikkei.co.jp/en/nkave/index/component
6752.T,equity,nikkei225,UNKNOWN,PANASONIC HOLDINGS CORP.,6752,https://indexes.nikkei.co.jp/en/nkave/index/component
6753.T,equity,nikkei225,UNKNOWN,SHARP CORP.,6753,https://indexes.nikkei.co.jp/en/nkave/index/component
6758.T,equity,nikkei225,UNKNOWN,SONY GROUP CORP.,6758,https://indexes.nikkei.co.jp/en/nkave/index/component
6762.T,equity,nikkei225,UNKNOWN,TDK CORP.,6762,https://indexes.nikkei.co.jp/en/nkave/index/component
6770.T,equity,nikkei225,UNKNOWN,"ALPS ALPINE CO., LTD.",6770,https://indexes.nikkei.co.jp/en/nkave/index/component
6841.T,equity,nikkei225,UNKNOWN,YOKOGAWA ELECTRIC CORP.,6841,https://indexes.nikkei.co.jp/en/nkave/index/component
6857.T,equity,nikkei225,UNKNOWN,ADVANTEST CORP.,6857,https://indexes.nikkei.co.jp/en/nkave/index/component
6861.T,equity,nikkei225,UNKNOWN,KEYENCE CORP.,6861,https://indexes.nikkei.co.jp/en/nkave/index/component
6902.T,equity,nikkei225,UNKNOWN,DENSO CORP.,6902,https://indexes.nikkei.co.jp/en/nkave/index/component
6920.T,equity,nikkei225,UNKNOWN,LASERTEC CORP.,6920,https://indexes.nikkei.co.jp/en/nkave/index/component
6954.T,equity,nikkei225,UNKNOWN,FANUC CORP.,6954,https://indexes.nikkei.co.jp/en/nkave/index/component
6963.T,equity,nikkei225,UNKNOWN,"ROHM CO., LTD.",6963,https://indexes.nikkei.co.jp/en/nkave/index/component
6971.T,equity,nikkei225,UNKNOWN,KYOCERA CORP.,6971,https://indexes.nikkei.co.jp/en/nkave/index/component
6976.T,equity,nikkei225,UNKNOWN,"TAIYO YUDEN CO., LTD.",6976,https://indexes.nikkei.co.jp/en/nkave/index/component
6981.T,equity,nikkei225,UNKNOWN,"MURATA MANUFACTURING CO., LTD.",6981,https://indexes.nikkei.co.jp/en/nkave/index/component
6988.T,equity,nikkei225,UNKNOWN,NITTO DENKO CORP.,6988,https://indexes.nikkei.co.jp/en/nkave/index/component
7004.T,equity,nikkei225,UNKNOWN,KANADEVIA CORP.,7004,https://indexes.nikkei.co.jp/en/nkave/index/component
7011.T,equity,nikkei225,UNKNOWN,"MITSUBISHI HEAVY IND., LTD.",7011,https://indexes.nikkei.co.jp/en/nkave/index/component
7012.T,equity,nikkei225,UNKNOWN,"KAWASAKI HEAVY IND., LTD.",7012,https://indexes.nikkei.co.jp/en/nkave/index/component
7013.T,equity,nikkei225,UNKNOWN,IHI CORP.,7013,https://indexes.nikkei.co.jp/en/nkave/index/component
7186.T,equity,nikkei225,UNKNOWN,"YOKOHAMA FINANCIAL GROUP, INC.",7186,https://indexes.nikkei.co.jp/en/nkave/index/component
7201.T,equity,nikkei225,UNKNOWN,"NISSAN MOTOR CO., LTD.",7201,https://indexes.nikkei.co.jp/en/nkave/index/component
7202.T,equity,nikkei225,UNKNOWN,ISUZU MOTORS LTD.,7202,https://indexes.nikkei.co.jp/en/nkave/index/component
7203.T,equity,nikkei225,UNKNOWN,TOYOTA MOTOR CORP.,7203,https://indexes.nikkei.co.jp/en/nkave/index/component
7211.T,equity,nikkei225,UNKNOWN,MITSUBISHI MOTORS CORP.,7211,https://indexes.nikkei.co.jp/en/nkave/index/component
7261.T,equity,nikkei225,UNKNOWN,MAZDA MOTOR CORP.,7261,https://indexes.nikkei.co.jp/en/nkave/index/component
7267.T,equity,nikkei225,UNKNOWN,"HONDA MOTOR CO., LTD.",7267,https://indexes.nikkei.co.jp/en/nkave/index/component
7269.T,equity,nikkei225,UNKNOWN,SUZUKI MOTOR CORP.,7269,https://indexes.nikkei.co.jp/en/nkave/index/component
7270.T,equity,nikkei225,UNKNOWN,SUBARU CORP.,7270,https://indexes.nikkei.co.jp/en/nkave/index/component
